topic,year,subtopic,Description,method
Public opinion of the Supreme Court as an institution,2025,placeholder theme 6,"A November Marquette Law School Poll found that 44% of respondents approve of the way the Supreme Court is handling its job, while 56% disapprove. By party: 17% of Democrats; 33% of Independents; 74% of Republicans approve.","<a href=""https://law.marquette.edu/poll/wp-content/uploads/2025/11/MLSPSC29Methodology.pdf"">Methodology</a>: conducted Nov. 5-12, 2025, among 1052 adults nationwide, with a margin of error of +/-3.3 percentage points. There are 903 registered voters, with a margin of error of +/-3.5 percentage points and 602 likely voters (those who say they are certain to vote in November) with a margin of error of +/-4 percentage points. Fieldwork was conducted by SSRS of Glen Mills, PA, using the SSRS Opinion Panel, a representative probability-based panel of adults ages 18 and over living in the United States, recruited using the SSRS Omnibus poll and through address-based sampling (ABS)."
Public opinion of the Supreme Court as an institution,2025,placeholder theme 7,"A September <a href=""https://www.pewresearch.org/short-reads/2025/09/03/favorable-views-of-supreme-court-remain-near-historic-low/"">Pew Research Center Poll</a> found that 48% of respondents have a favorable opinion of the Supreme Court, while 50% have an unfavorable opinion. By party: 26% of Democrats and 71% of Republicans have a favorable opinion.","<a href=""https://www.pewresearch.org/politics/2025/08/14/trump-approval-august-methodology/"">Methodology</a>: Data in this report comes from Wave 176 of the American Trends Panel (ATP), Pew Research Center’s nationally representative panel of randomly selected U.S. adults. The survey was conducted from Aug. 4 to 10, 2025. A total of 3,554 panelists responded out of 3,784 who were sampled, for a survey-level response rate of 94%. SSRS conducted the survey for Pew Research Center via online (n=3,429) and live telephone (n=125) interviewing."
Public opinion of the Supreme Court as an institution,2025,placeholder theme 2,"A September <a href=""https://news.gallup.com/poll/695759/new-high-say-supreme-court-too-conservative.aspx"">Gallup Poll</a> found that 42% of respondents approve of the way the Supreme Court is handling its job, while 52% disapprove.","Methodology: based on telephone interviews conducted by ReconMR Sept. 2-16, 2025, with a random sample of 1,000 adults, aged 18 and older, living in all 50 U.S. states and the District of Columbia. Each sample of national adults includes a minimum quota of 80% cellphone respondents and 20% landline respondents. Landline and cellular telephone numbers are selected using random-digit-dial methods."
Public opinion of the Supreme Court as an institution,2025,placeholder theme 0,"A July <a href=""https://news.gallup.com/poll/693230/record-party-gaps-job-approval-supreme-court-congress.aspx"">Gallup Poll</a> found that 39% of respondents approve of the way the Supreme Court is handling its job. By party: 11% of Democrats and 75% of Republicans approve.","Methodology: Results for this Gallup poll are based on telephone interviews conducted by ReconMR July 7-21, 2025, with a random sample of 1,002 adults, aged 18 and older, living in all 50 U.S. states and the District of Columbia. Each sample of national adults includes a minimum quota of 80% cellphone respondents and 20% landline respondents, with additional minimum quotas by time zone within region."
Public opinion of the Supreme Court as an institution,2025,placeholder theme 7,"A July <a href=""https://static.foxnews.com/foxnews.com/content/uploads/2025/07/fox_july-18-21-2025_national_cross-tabs_july-23-release.pdf"">Fox News Poll</a> found that 47% of respondents approve of the job the Supreme Court is doing, while 50% of respondents disapprove. By party: 21% of Democrats; 42% of Independents; and 76% of Republicans approve.","<a href=""https://www.foxnews.com/official-polls/fox-news-poll-approval-scotus-5-year-high-rebounding-from-record-low-2024"">Methodology</a>: Conducted July 18-21, 2025, under the direction of Beacon Research (D) and Shaw &amp; Company Research (R), this Fox News survey includes interviews with a sample of 1,000 registered voters randomly selected from a national voter file. Respondents spoke with live interviewers on landlines (114) and cellphones (636) or completed the survey online after receiving a text (250). Results based on the full sample have a margin of sampling error of ±3 percentage points."
Public opinion of the Supreme Court as an institution,2025,placeholder theme 4,"A July <a href=""https://poll.qu.edu/poll-release?releaseid=3928"">Quinnipiac University Poll</a> found that 40% of respondents approve of the way the Supreme Court is handling its job, while 53% disapprove. By party: 10% of Democrats; 37% of Independents; and 76% of Republicans approve","<a href=""https://poll.qu.edu/images/polling/us/us07162025_demos_ugxj29.pdf"">Methodology</a>: This RDD telephone survey was conducted from July 10-14, 2025 throughout the contiguous United States. Responses are reported for 1,290 self-identified registered voters with a margin of sampling error of +/- 2.7 percentage points. Surveys are conducted with live interviewers calling landlines and cell phones."
Public opinion of the Supreme Court as an institution,2025,placeholder theme 3,"A July <a href=""https://apnorc.org/projects/confidence-in-the-supreme-court-is-increasing-but-so-are-concerns-over-its-power/"">Associated Press-NORC Center for Public Affairs Research Poll</a> found that 16% of respondents have “a great deal” of confidence in the people running the Supreme Court, while 31% have “hardly any” confidence at all.","<a href=""https://apnorc.org/wp-content/uploads/2025/07/July-2025-METHODOLOGY.pdf"">Methodology</a>: Interviews for this survey were conducted between July 10 through 14, 2025, with adults age 18 and over representing the 50 states and the District of Columbia. Panel members were randomly drawn from AmeriSpeak, and 1,437 completed the survey — 1,357 via the web and 80 by telephone. The overall margin of sampling error is +/- 3.6 percentage points."
Public opinion of the Supreme Court as an institution,2024,placeholder theme 7,"A December <a href=""https://www.marquette.edu/news-center/2024/marquette-law-poll-finds-approval-of-supreme-court-rises-to-highest-level-since-march-2022.php"">Marquette Law School Poll</a> found that 48% of respondents approve of the job the Supreme Court is doing, while 52% disapprove.","<a href=""https://law.marquette.edu/poll/wp-content/uploads/2024/12/MLSPSC23Methodology.pdf"">Methodology</a>: The MarquetteLaw School Poll national survey of public views of the U.S. Supreme Court and national issues was conducted Dec. 2-11, 2024. A total of 1063 adults were interviewed by SSRS of Glen Mills, PA, using the SSRS Opinion Panel, a representative probability-basedpanel of adults ages 18 and over living in theUnitedStates, recruited usingthe SSRS Omnibus poll and through address-based sampling (ABS). The margin of error is +/-3.6 percentage points for the full sample."
Public opinion of the Supreme Court as an institution,2024,placeholder theme 6,"A July <a href=""https://news.gallup.com/poll/647834/approval-supreme-court-stalled-near-historical-low.aspx"">Gallup Poll</a> found that 43% of respondents approve of the way the Supreme Court is handling its job, while 52% disapprove. By party: 15% of Democrats; 44% of Independents; and 66% of Republicans approve of the job the Supreme Court is doing.","<a href=""https://brennancenterny.sharepoint.com/:b:/s/KohlbergCenter/IQCDzeaXyIW2TKsq0h1heT51AVsk5xLNQmnCsGdD1iBdLao?e=B9gUIl"">Methodology</a>: Results are based on telephone interviews conducted July 1-21, 2024, with a random sample of –1,010—adults, ages 18+, living in all 50 U.S. states and the District of Columbia. For results based on this sample of national adults, the margin of sampling error is ±4 percentage points at the 95% confidence level. Each sample of national adults includes a minimum quota of 80% cell phone respondents and 20% landline respondents, with additional minimum quotas by time zone within region."
Public opinion of the Supreme Court as an institution,2024,placeholder theme 1,"A July <a href=""https://static.foxnews.com/foxnews.com/content/uploads/2024/07/Fox_July-7-10-2024_National_Cross-Tabs_July-16-Release.pdf"">Fox News Poll</a> found that 38% of respondents approve of the job the Supreme Court is doing, while 60% disapprove. By party: 17% of Democrats; 26% of Independents; and 62% of Republicans approve.","<a href=""https://www.foxnews.com/official-polls/fox-news-poll-supreme-court-approval-rating-drops-record-low"">Methodology</a>: Conducted July 7-10, 2024 under the joint direction of Beacon Research (D) and Shaw &amp; Company Research (R), this Fox News survey includes interviews with a sample of 1,210 registered voters randomly selected from a national voter file. Respondents spoke with live interviewers on landlines (132) and cellphones (787) or completed the survey online after receiving a text (291). Results based on the full sample have a margin of sampling error of ±3 percentage points."
Public opinion of the Supreme Court as an institution,2024,placeholder theme 5,"A June <a href=""https://poll.qu.edu/images/polling/us/us06262024_ummk42.pdf"">Quinnipiac University Poll</a> found that 37% of respondents approve of the way the Supreme Court is handling its job, while 54% disapprove. By party: 9% of Democrats; 42% of Independents; and 62% of Republicans approve.","Methodology: 1,405 self-identified registered voters nationwide were surveyed from June 20th – 24th with a margin of error of +/- 2.6 percentage points. Surveys adhere to industry best practices and are based on random samples of adults using random digit dialing with live interviewers calling landlines and cell phones."
Public opinion of the Supreme Court as an institution,2023,placeholder theme 2,"A September <a href=""https://news.gallup.com/poll/511820/views-supreme-court-remain-near-record-lows.aspx"">Gallup Poll</a> found that 41% of respondents approve of the way the Supreme Court is handling its job, while 58% disapproved. By party: 23% of Democrats; 40% of Independents; and 56% of Republicans approved of the job the Supreme Court is doing.","<a href=""https://brennancenterny.sharepoint.com/:b:/s/KohlbergCenter/IQDlWeg8FuKFSb6YZGv8VK_AASzpjs_4e0s-3gY3-ODEriw?e=BE5zew"">Methodology</a>: Results are based on telephone interviews conducted September 1-23, 2023, with a random sample of –1,016 —adults, ages 18+, living in all 50 U.S. states and the District of Columbia. For results based on this sample of national adults, the margin of sampling error is ±4 percentage points at the 95% confidence level. Each sample of national adults includes a minimum quota of 80% cell phone respondents and 20% landline respondents, with additional minimum quotas by time zone within region."
Public opinion of the Supreme Court as an institution,2023,placeholder theme 4,"An April <a href=""https://www.pewresearch.org/politics/2023/04/07/views-of-congress-the-supreme-court-and-the-political-system/"">Pew Research Center Poll</a> found that 48% of respondents have a favorable opinion of the Supreme Court, while 50% have an unfavorable opinion. By party: 31% of Democrats and 68% of Republicans have a favorable opinion.","<a href=""https://www.pewresearch.org/wp-content/uploads/sites/20/2023/04/PP_2023.04.07_100-days_REPORT.pdf"">Methodology</a>: The American Trends Panel (ATP), created by Pew Research Center, is a nationally representative panel of randomly selected U.S. adults. Panelists participate via self-administered web surveys. Data in this report is drawn from ATP Wave 125, conducted from March 27 to April 2, 2023. A total of 5,079 panelists responded out of 5,782 who were sampled, for a response rate of 88%. The margin of sampling error for the full sample of 5,079 respondents is plus or minus 1.7 percentage points."
Public opinion of the Supreme Court as an institution,2022,placeholder theme 6,"An October <a href=""https://www.asc.upenn.edu/news-events/news/over-half-americans-disapprove-supreme-court-trust-plummets"">Annenberg Public Policy Center Poll</a> found that 39% of respondents approve of the way the Supreme Court is handling its job, while 53% disapprove. By party: 21% of Democrats; 38% of Independents; and 68% of Republicans approve.","<a href=""https://www.annenbergpublicpolicycenter.org/wp-content/uploads/APPC_Civics_survey_2022_Methods_Report.pdf"">Methodology</a>: The 2022 survey of 1,113 U.S. adults was conducted by phone for APPC by independent research company SSRS on August 2-13, 2022. It has a margin of error of ± 3.6 percentage points at the 95% confidence level."
Public opinion of the Supreme Court as an institution,2022,placeholder theme 6,"An August <a href=""https://www.pewresearch.org/politics/2022/09/01/positive-views-of-supreme-court-decline-sharply-following-abortion-ruling/"">Pew Research Center Poll</a> found that 48% of respondents have a favorable opinion of the Supreme Court, while 49% have an unfavorable opinion. By party: 28% of Democrats and 73% of Republicans have a favorable opinion.","<a href=""https://www.pewresearch.org/politics/2022/09/01/views-of-scotus-methodology/"">Methodology</a>: The American Trends Panel (ATP), created by Pew Research Center, is a nationally representative panel of randomly selected U.S. adults. Panelists participate via self-administered web surveys. Data in this report is drawn from the panel wave conducted from Aug. 1 to Aug. 14. A total of 7,647 panelists responded out of 13,221 who were sampled, for a response rate of 65%. This included 6,025 respondents from the ATP and an oversample of 1,622 Hispanic respondents from Ipsos’ KnowledgePanel. The margin of sampling error for the full sample of 7,647 respondents is plus or minus 1.7 percentage points."
Public opinion of the Supreme Court as an institution,2022,placeholder theme 5,"A June <a href=""https://news.gallup.com/poll/394103/confidence-supreme-court-sinks-historic-low.aspx"">Gallup Poll</a> found that 25% of respondents had either a great deal or quite a lot of confidence in the Supreme Court. By party: 13% of Democrats; 25% of Independents; and 39% of Republicans had either “a great deal” or “quite a lot” of confidence in the Supreme Court.","<a href=""https://brennancenterny.sharepoint.com/:b:/s/KohlbergCenter/IQDTSR09aE95T635F5CQT0EnAcEm-QOQ_2SvZ1MzsquiPYM?e=BhAKTB"">Methodology</a>: Results are based on telephone interviews conducted June 1-20, 2022, with a random sample of –1,015—adults, ages 18+, living in all 50 U.S. states and the District of Columbia. For results based on this sample of national adults, the margin of sampling error is ±4 percentage points at the 95% confidence level. Each sample of national adults includes a minimum quota of 75% cell phone respondents and 25% landline respondents, with additional minimum quotas by time zone within region."
Public opinion of the Supreme Court as an institution,2021,placeholder theme 1,"A <a href=""https://news.gallup.com/poll/354908/approval-supreme-court-down-new-low.aspx"">September Gallup Poll</a> found that 40% of respondents approve of the way the Supreme Court is handling its job, while 53% disapprove. By party: 36% of Democrats; 41% of Independents; and 45% of Republicans approve.","<a href=""https://brennancenterny.sharepoint.com/:b:/s/KohlbergCenter/IQCGIadX_XaCS7e1O3A7x4fLAZmccILqxJvgkILHo0NPaLo?e=9uIjOr"">Methodology</a>: Results are based on telephone interviews conducted September 1-17, 2021 with a random sample of –1,005 — adults, ages 18+, living in all 50 U.S. states and the District of Columbia. For results based on this sample of national adults, the margin of sampling error is ±4 percentage points at the 95% confidence level. Each sample of national adults includes a minimum quota of 70% cell phone respondents and 30% landline respondents, with additional minimum quotas by time zone within region."
Public opinion of the Supreme Court as an institution,2021,placeholder theme 6,"A September <a href=""https://law.marquette.edu/poll/2021/09/22/new-marquette-law-school-poll-finds-sharp-decline-since-july-in-public-opinion-of-the-supreme-courts-job-performance-change-is-driven-by-partisan-differences/"">Marquette University Law School Poll</a> found that 49% of respondents approve of the Supreme Court. By party: 37% of Democrats; 51% of Independents; 61% of Republicans approve.","<a href=""https://law.marquette.edu/poll/wp-content/uploads/2021/09/MLSPSC_04_SeptemberMethodology.pdf"">Methodology</a>: The survey was conducted Sept. 7-16, 2021. A total of 1,411 adults were interviewed by SSRS of Glen Mills PA, using the SSRS Opinion Panel, a representative probability-based panel of adults ages 18 and over living in the United States, recruited using the SSRS Omnibus poll and through address-based sampling (ABS). The margin of error is ±3.4 percentage points for the full sample. The survey is a general population sample of U.S. adults age 18 and over living in the 50 states."
Public opinion of the Supreme Court as an institution,2021,placeholder theme 7,"A <a href=""https://news.gallup.com/poll/352316/americans-confidence-major-institutions-dips.aspx"">July Gallup Poll</a> found that 36% of respondents have either “a great deal” or “quite a lot” of confidence in the Supreme Court. By party: 35% of Democrats/Lean Democrats and 39% of Republicans/Lean Republicans have either “a great deal” or “quite a lot” of confidence.","<a href=""https://brennancenterny.sharepoint.com/:b:/s/KohlbergCenter/IQCMKPjIzcokRYCnw7jgZx5IAdfH2oQdd6e92vm7Xy4h7zk?e=R7tWiO"">Methodology</a>: Results are based on telephone interviews conducted June 1-July 5, 2021 with a random sample of –1,381 — adults, ages 18+, living in all 50 U.S. states and the District of Columbia, including oversamples of Black and Hispanic adults. Each sample of national adults includes a minimum quota of 70% cell phone respondents and 30% landline respondents, with additional minimum quotas by time zone within region."
Public opinion of the Supreme Court as an institution,2021,placeholder theme 1,"An April <a href=""https://www.ipsos.com/en-us/news-polls/majority-americans-support-placing-term-age-limit-supreme-court-seats"">Ipsos Poll</a> found that 49% of respondents have either “a great deal” or “a fair amount” of confidence in the decisions made by the Supreme Court. By party: 52% of Democrats; 51% of Independents; and 49% of Republicans have either “a great deal” or “a fair amount” of confidence.","Methodology: conducted between April 15-16, 2021. For this survey, a sample of 1,003 adults age 18+ from the continental U.S., Alaska, and Hawaii was interviewed online in English"
Public opinion of the Supreme Court as an institution,2020,placeholder theme 4,"A September <a href=""https://www.pewresearch.org/short-reads/2020/09/25/before-ginsburgs-death-a-majority-of-americans-viewed-the-supreme-court-as-middle-of-the-road/"">Pew Research Center Poll</a> found that 70% of respondents have a favorable view of the Supreme Court. By party: 67% of Democrats/Lean Democrat and 75% of Republicans/Lean Republican have a favorable view.","<a href=""https://www.pewresearch.org/wp-content/uploads/2020/09/SCOTUS-methodology.pdf"">Methodology</a>: The American Trends Panel (ATP), created by Pew Research Center, is a nationally representative panel of randomly selected U.S. adults. Panelists participate via self-administered web surveys. Data in this report is drawn from the panel wave conducted July 27 to Aug. 2, 2020. A total of 11,001 panelists responded out of 14,407 who were sampled, for a response rate of 76%. The margin of sampling error for the full sample of 11,001 respondents is plus or minus 1.5 percentage points."
Public opinion of the Supreme Court as an institution,2020,placeholder theme 8,"An July <a href=""https://news.gallup.com/poll/316817/approval-supreme-court-highest-2009.aspx"">Gallup Poll</a> found that 58% of respondents approve of the way the Supreme Court is handling its job. By party: 56% of Democrats; 54% of Independents; and 60% of Republicans approve.","<a href=""https://brennancenterny.sharepoint.com/:b:/s/KohlbergCenter/IQD7lLxdVL2PSpIac9icuexYAaQaXazY73pl6V_J7_vdZ_M?e=q1Towf"">Methodology</a>: Results are based on telephone interviews conducted July 1-23, 2020 with a random sample of –1,007—adults, ages 18+, living in all 50 U.S. states and the District of Columbia. For results based on this sample of national adults, the margin of sampling error is ±4 percentage points at the 95% confidence level. Each sample of national adults includes a minimum quota of 70% cell phone respondents and 30% landline respondents, with additional minimum quotas by time zone within region."
Public opinion on term limits (and mandatory retirement age),2025,placeholder theme 3,"A September <a href=""https://www.annenbergpublicpolicycenter.org/americans-knowledge-of-civics-increases-annenberg-survey-finds/"">Annenberg Public Policy Center Poll</a> found that 69% of respondents either “strongly favor” or “somewhat favor” term limits for Supreme Court justices.","<a href=""https://www.annenbergpublicpolicycenter.org/wp-content/uploads/Constitution_Day_Topline_2025.pdf"">Methodology</a>: Data collection was conducted in three replicates from May 13 – July 17, 2025, among a sample of 1,334 respondents. The margin of sampling error for the complete set of weighted data is ± 3.5 percentage points."
Public opinion on term limits (and mandatory retirement age),2024,placeholder theme 6,"An October <a href=""https://law.marquette.edu/poll/2024/10/17/new-marquette-law-school-poll-national-survey-finds-approval-of-u-s-supreme-court-edges-upward-but-55-disapprove-of-the-courts-work/"">Marquette Law School Poll</a> found that 83% of respondents support a proposal for justices to serve fixed terms, rather than the current system of life tenure. By party: 94% of Democrats; 86% of Independents; and 70% of Republicans support a proposal for justices to serve fixed terms.","<a href=""https://law.marquette.edu/poll/wp-content/uploads/2024/10/MLSPSC22Methodology.pdf"">Methodology</a>: The MarquetteLaw School Poll national survey of public views of the U.S. Supreme Court and national issues was conducted Oct. 1-10, 2024. A total of 1005 adults were interviewed by SSRS of Glen Mills, PA, using the SSRS Opinion Panel, a representative probability-based panel of adults ages 18 and over living in the United States, recruited using the SSRS Omnibus poll and through address-based sampling (ABS). The margin of error is +/-4.1 percentage points for the full sample."
Public opinion on term limits (and mandatory retirement age),2024,placeholder theme 3,"A September <a href=""https://www.annenbergpublicpolicycenter.org/most-americans-cant-recall-most-first-amendment-rights/"">Annenberg Public Policy Center Poll</a> found that 68% of respondents either “strongly favor” or “somewhat favor” term limits for Supreme Court justices.","<a href=""https://www.annenbergpublicpolicycenter.org/wp-content/uploads/APPC_Con_Day_Topline_2024-.pdf"">Methodology</a>: The Annenberg Public Policy Center engaged SSRS to conduct the Democracy Study National Panel Wave 1 via a custom-recruited panel of non-institutionalized U.S. citizens aged 18 or older. Data collection was conducted in three replicates from May 1 – May 23, 2024 among a sample of 1,620 respondents. The survey was conducted via web (N=1,541) and telephone (N=79) in English (N=1,606) and Spanish (N=14)."
Public opinion on term limits (and mandatory retirement age),2024,placeholder theme 2,"An August <a href=""https://www.ipsos.com/en-us/most-americans-believe-presidential-election-will-have-major-impact-future-supreme-court"">USA TODAY-Ipsos Poll</a> found that 63% of respondents support imposing a single 18-year term limit for Supreme Court justices. By party: 83% of Democrats; 61% of Independents; and 51% of Republicans support.","Methodology: This poll was conducted by Ipsos from August 2-4, 2024, using the probability-based KnowledgePanel. This poll is based on a nationally representative probability sample of 1,024 adults age 18 or older. The survey was conducted using KnowledgePanel, the largest and most well-established online probability-based panel that is representative of the adult U.S. population."
