topic,year,link text,link url,subtopic,question wording,answer 1 text,answer 1 value,answer 2 text,answer 2 value,main text,method
Public opinion of the Supreme Court as an institution,2025,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Approve,51%,Disapprove,49%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2025,name of poll,link,Supreme Court favorability," Fusce egestas, odio ornare mollis auctor?",Confident,58%,Not Confident,42%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2025,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Approve,6%,Disapprove,94%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2025,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Confident,37%,Not Confident,63%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2025,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Approve,34%,Disapprove,66%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2025,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Confident,55%,Not Confident,45%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2025,name of poll,link,Supreme Court confidence ," Fusce egestas, odio ornare mollis auctor?",Approve,16%,Disapprove,84%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2024,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Confident,33%,Not Confident,67%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2024,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Approve,86%,Disapprove,14%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2024,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Confident,13%,Not Confident,87%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
